Period,Value
Jan-92,3657
Feb-92,3490
Mar-92,3669
Apr-92,3527
May-92,3571
Jun-92,3788
Jul-92,3930
Aug-92,3817
Sep-92,3795
Oct-92,4014
Nov-92,4419
Dec-92,7014
Jan-93,4105
Feb-93,3735
Mar-93,4159
Apr-93,3974
May-93,4023
Jun-93,4334
Jul-93,4447
Aug-93,4406
Sep-93,4393
Oct-93,4460
Nov-93,5153
Dec-93,7943
Jan-94,4508
Feb-94,4251
Mar-94,4804
Apr-94,4520
May-94,4656
Jun-94,5047
Jul-94,5000
Aug-94,5205
Sep-94,5128
Oct-94,5319
Nov-94,6271
Dec-94,9661
Jan-95,5480
Feb-95,5005
Mar-95,5574
Apr-95,5016
May-95,5438
Jun-95,5688
Jul-95,5565
Aug-95,5993
Sep-95,5742
Oct-95,5833
Nov-95,6839
Dec-95,10206
Jan-96,5826
Feb-96,5598
Mar-96,6009
Apr-96,5615
May-96,5914
Jun-96,5897
Jul-96,5891
Aug-96,6258
Sep-96,5936
Oct-96,6074
Nov-96,6928
Dec-96,10114
Jan-97,5809
Feb-97,5555
Mar-97,6004
Apr-97,5681
May-97,5894
Jun-97,5976
Jul-97,6218
Aug-97,6417
Sep-97,6106
Oct-97,6171
Nov-97,7072
Dec-97,10754
Jan-98,6471
Feb-98,6002
Mar-98,6415
Apr-98,5947
May-98,6214
Jun-98,6478
Jul-98,6661
Aug-98,6927
Sep-98,6460
Oct-98,6468
Nov-98,7427
Dec-98,11261
Jan-99,6636
Feb-99,6265
Mar-99,6824
Apr-99,6303
May-99,6572
Jun-99,6805
Jul-99,7053
Aug-99,7135
Sep-99,6869
Oct-99,6778
Nov-99,7872
Dec-99,12251
Jan-00,7202
Feb-00,7137
Mar-00,7377
Apr-00,6711
May-00,6979
Jun-00,6952
Jul-00,6909
Aug-00,7395
Sep-00,7011
Oct-00,6763
Nov-00,7998
Dec-00,11988
Jan-01,7022
Feb-01,6579
Mar-01,6984
Apr-01,6137
May-01,6536
Jun-01,6782
Jul-01,6758
Aug-01,7276
Sep-01,6470
Oct-01,6687
Nov-01,8390
Dec-01,12872
Jan-02,7193
Feb-02,6825
Mar-02,7252
Apr-02,6512
May-02,7056
Jun-02,7089
Jul-02,7045
Aug-02,7550
Sep-02,6775
Oct-02,6950
Nov-02,8352
Dec-02,12609
Jan-03,7022
Feb-03,6552
Mar-03,6893
Apr-03,6354
May-03,6958
Jun-03,7076
Jul-03,7221
Aug-03,7851
Sep-03,7213
Oct-03,7377
Nov-03,8817
Dec-03,13516
Jan-04,7626
Feb-04,7409
Mar-04,7662
Apr-04,7059
May-04,7483
Jun-04,7749
Jul-04,7828
Aug-04,8210
Sep-04,7723
Oct-04,7713
Nov-04,9437
Dec-04,14114
Jan-05,7965
Feb-05,7897
Mar-05,8310
Apr-05,7576
May-05,7950
Jun-05,8219
Jul-05,8211
Aug-05,8788
Sep-05,8212
Oct-05,8215
Nov-05,10005
Dec-05,14774
Jan-06,8775
Feb-06,8236
Mar-06,8680
Apr-06,7790
May-06,8374
Jun-06,8509
Jul-06,8451
Aug-06,9051
Sep-06,8370
Oct-06,8058
Nov-06,10339
Dec-06,15458
Jan-07,8712
Feb-07,8293
Mar-07,8521
Apr-07,7657
May-07,8381
Jun-07,8400
Jul-07,8443
Aug-07,9209
Sep-07,8275
Oct-07,8345
Nov-07,10948
Dec-07,15157
Jan-08,8680
Feb-08,8709
Mar-08,8529
Apr-08,7958
May-08,8834
Jun-08,8635
Jul-08,8807
Aug-08,9017
Sep-08,8047
Oct-08,7789
Nov-08,9934
Dec-08,13445
Jan-09,8404
Feb-09,8128
Mar-09,7597
Apr-09,6930
May-09,7320
Jun-09,7573
Jul-09,7543
Aug-09,7832
Sep-09,7248
Oct-09,7073
Nov-09,9431
Dec-09,12820
Jan-10,7639
Feb-10,7854
Mar-10,7773
Apr-10,7162
May-10,7613
Jun-10,7974
Jul-10,7960
Aug-10,8137
Sep-10,7654
Oct-10,7323
Nov-10,9485
Dec-10,13015
Jan-11,7585
Feb-11,7788
Mar-11,8197
Apr-11,7335
May-11,7625
Jun-11,7874
Jul-11,8035
Aug-11,8460
Sep-11,7771
Oct-11,7898
Nov-11,10193
Dec-11,13217
Jan-12,7832
Feb-12,8256
Mar-12,8507
Apr-12,7241
May-12,7955
Jun-12,8009
Jul-12,8190
Aug-12,8474
Sep-12,7826
Oct-12,7657
Nov-12,10401
Dec-12,13534
Jan-13,8168
Feb-13,8261
Mar-13,8286
Apr-13,7358
May-13,7891
Jun-13,7867
Jul-13,8063
Aug-13,8401
Sep-13,7851
Oct-13,8028
Nov-13,10345
Dec-13,12992
Jan-14,7878
Feb-14,7858
Mar-14,8164
Apr-14,7203
May-14,7667
Jun-14,7590
Jul-14,7884
Aug-14,8176
Sep-14,8178
Oct-14,8063
Nov-14,10679
Dec-14,13504
Jan-15,7984
Feb-15,7701
Mar-15,7871
Apr-15,7101
May-15,7616
Jun-15,7913
Jul-15,7870
Aug-15,8057
Sep-15,7970
Oct-15,7790
Nov-15,9925
Dec-15,12377
Jan-16,7255
Feb-16,7477
Mar-16,7563
Apr-16,6729
May-16,7203
Jun-16,7366
Jul-16,7412
Aug-16,7855
Sep-16,7415
Oct-16,7057
Nov-16,9201
Dec-16,11430
Jan-17,7034
Feb-17,6718
Mar-17,7495
Apr-17,6673
May-17,7156
Jun-17,7227
Jul-17,7073
Aug-17,7469
Sep-17,7294
Oct-17,7168
Nov-17,9704
Dec-17,11413
Jan-18,7287
Feb-18,6970
Mar-18,7577
Apr-18,6833
May-18,7399
Jun-18,7505
Jul-18,7386
Aug-18,7871
Sep-18,7292
Oct-18,7355
Nov-18,9593
Dec-18,11037
Jan-19,7197
Feb-19,6599
Mar-19,7229
Apr-19,6532
May-19,7161
Jun-19,7026
Jul-19,7213
Aug-19,7556
Sep-19,7152
Oct-19,7116
Nov-19,9261
Dec-19,10892
Jan-20,7063
Feb-20,6659
Mar-20,5778
Apr-20,3013
May-20,3914
Jun-20,5583
Jul-20,6478
Aug-20,6765
Sep-20,6383
Oct-20,6781
Nov-20,8194
Dec-20,9367
Jan-21,6843
Feb-21,6121
Mar-21,7875
Apr-21,7346
May-21,7501
Jun-21,7891
Jul-21,7920
Aug-21,7854
Sep-21,7548
Oct-21,7896
Nov-21,8940
Dec-21,10446
Jan-22,6718
Feb-22,6426
Mar-22,7627
Apr-22,7080
May-22,7072
Jun-22,7000
Jul-22,7015
Aug-22,7397
Sep-22,6878
Oct-22,NA
Nov-22,NA
Dec-22,NA
